18.1,Function 18.1 : Show Salon Location On Interactive Map
19,Feature 19 : Feedback System
19.1,Function 19.1 : Rate The Appointment
19.2,Function 19.2 : Create Service/Product Review
19.3,Function 19.3 : Delete Service/Product  Review
20,Feature 20 : Chat / Communication
20.1,Function 20.1 : Contact Support Through External Channel
21,Feature 21 : Inventory & Product Management
21.1,Function 21.1 : Create Product
21.2,Function 21.2 : Request To Edit Product
21.3,Function 21.3 : Accept Product Edit Request
21.4,Function 21.4 : Decline Edit Request
21.5,Function 21.5 : Request To Delete Product
21.6,Function 21.6 : Accept Product Deletion Request
21.7,Function 21.7 : Decline Product Deletion Request
21.8,Function 21.8 : Search Product By Parameter
21.9,Function 21.9 : Log Product Details Changes
22,Feature 22 : Salon Reports
22.1,Function 22.1 : View Financial Report
22.2,Function 22.2 : View Supplier Report
22.3,Function 22.3 : View Satisfaction Report
22.4,Function 22.4 : View Staff Performance Report
22.5,Function 22.5 : View Sales Report
22.6,Function 22.6 : Create Expense Report
23,Feature 23 : Payroll Management
23.1,Function 23.1 : Record Staff Commission
23.2,Function 23.2 : View Staff Payroll
23.3,Function 23.3 : View Payroll Rule
23.4,Function 23.4 : Edit Payroll Rule
23.5,Function 23.5 : Search Staff Payroll
